ID;Navio;Berço;start;end;Natureza;Agência;Sentido
1;ORIENT PEONY;FOSPAR EXTERNO;10/09/2024 16:00;07/10/2024 07:00;Granel Sólido;COSCO WALLEM SHIP MANAGEMENT;Exportação
2;ROSANNA;FOSPAR EXTERNO;10/09/2024 20:12;19/09/2024 01:55;Granel Sólido;KYOWA KISEN/GREEN SPANKER;Importação
3;EVA;FOSPAR EXTERNO;19/09/2024 17:12;24/09/2024 14:55;Granel Sólido;OLDENDORFF CARRIERS GMBH & CO;Importação
4;CONCORDIA;FOSPAR EXTERNO;24/09/2024 18:42;01/10/2024 15:30;Granel Sólido;ALCEDO SHIPPING LIMITED;Importação
5;CRIMSON EMPRESS;FOSPAR EXTERNO;01/10/2024 19:12;05/10/2024 14:55;Granel Sólido;MMSL PTE LTD;Importação
6;OCEAN JOY;FOSPAR INTERNO;10/09/2024 16:18;23/09/2024 12:40;Granel Sólido;CARGILL OCEAN TRANSPORTATION SINGAPORE PTE;Importação
7;KALLIOPI S;FOSPAR INTERNO;23/09/2024 20:06;28/09/2024 10:48;Granel Sólido;PRINCESS CALLIOPE SHIPPING S. A;Importação
8;JAMAICA BAY;FOSPAR INTERNO;28/09/2024 13:12;07/10/2024 11:55;Granel Sólido;PACIFIC BASIN SHIPPING (USA) INC.;Importação
9;CLEAR SKY;B201 - CORREDOR OESTE;03/09/2024 16:25;09/09/2024 11:45;Granel Sólido;GLAFKOS MARITIME INC.;Importação
10;PIONEER ETERNITY;B201 - CORREDOR OESTE;09/09/2024 18:55;13/09/2024 21:20;Granel Sólido;BUNGE S/A;Exportação
11;LUDOGORETS;B201 - CORREDOR OESTE;10/09/2024 19:00;17/09/2024 14:50;Granel Sólido;LUDOGORETS MARITIME LTD;Importação
12;AP DRZIC;B201 - CORREDOR OESTE;17/09/2024 20:40;26/09/2024 19:30;Granel Sólido;A C L SHIPOWNERS AB;Importação
13;YARRA STAR;B201 - CORREDOR OESTE;26/09/2024 21:15;01/10/2024 22:40;Granel Sólido;LOUIS DREYFUS COMPANY FREIGHT ASIA PTE. LTD.;Exportação
14;JY HAMBURG;B201 - CORREDOR OESTE;02/10/2024 00:00;07/10/2024 00:40;Granel Sólido;HUAYANG MARITIME CENTER;Exportação
15;ULTRA BOSQUE;BERÇO 204 PASA;01/09/2024 16:50;02/09/2024 20:30;Granel Sólido;G2 OCEAN AS;Exportação
16;OBE LOTUS;BERÇO 204 PASA;02/09/2024 21:05;04/09/2024 13:14;Granel Sólido;TRADEWIND NAVIGATION S.A;Exportação
17;MAGIC STRIKER;BERÇO 204 PASA;04/09/2024 17:20;07/09/2024 02:24;Granel Sólido;CARGILL INTERNATIONAL S.A.;Exportação
18;MP ULTRAMAX 2;BERÇO 204 PASA;07/09/2024 04:03;09/09/2024 12:57;Granel Sólido;CANPOTEX SHIPPING SERVICES LIMITED;Exportação
19;BUNUN ACE;BERÇO 204 PASA;09/09/2024 13:40;09/09/2024 23:45;Granel Sólido;CARGILL OCEAN TRANSPORTATION SINGAPORE PTE;Exportação
20;MARITEC;BERÇO 204 PASA;10/09/2024 00:35;11/09/2024 12:20;Granel Sólido;SAGITTA SHIPPING CO SA;Exportação
21;ND PISTIS;BERÇO 204 PASA;11/09/2024 13:00;13/09/2024 06:25;Granel Sólido;NEPTUNE BULK PTE LTD.;Exportação
22;VIENNA;BERÇO 204 PASA;13/09/2024 06:52;14/09/2024 17:54;Granel Sólido;DILIGENT HOLDINGS S.A.;Exportação
