ID;IMO;Navio;Berço;start;end;Natureza;Agência;Sentido
1;9959785;BOUNTY DIVA;FOSPAR EXTERNO;15/10/2024 14:12;23/10/2024 12:36;Granel Sólido;COMERGE SHIPPING CO.;Importação
2;9729312;OCEAN SAGA;FOSPAR EXTERNO;23/10/2024 16:40;28/10/2024 16:35;Granel Sólido;PRIMEROSE SHIPPING CO.LTD;Importação
3;9591703;SHI DAI 9;FOSPAR EXTERNO;28/10/2024 17:36;04/11/2024 07:15;Granel Sólido;SHANGHAI TIME SHIPPING CO LTD;Importação
4;9738222;RED MARLIN;FOSPAR EXTERNO;05/11/2024 14:36;14/11/2024 02:50;Granel Sólido;WAKOH PANAMA S.A;Importação
5;9937268;ELITE DIVA;FOSPAR EXTERNO;14/11/2024 05:18;19/11/2024 18:20;Granel Sólido;SOUTHERN ROUTE MARITIME S.A;Importação
6;9785988;DUKE SANTOS;FOSPAR EXTERNO;19/11/2024 19:12;29/11/2024 06:00;Granel Sólido;LOUIS DREYFUS COMMODITIES ASIA PTE. LTD.;Importação
7;9649108;DENSA PUMA;FOSPAR INTERNO;30/10/2024 14:28;06/11/2024 20:20;Granel Sólido;COBELFRET BULK CARRIER N.V;Importação
8;9514822;AGAPI S;B201 - CORREDOR OESTE;13/10/2024 11:30;14/10/2024 13:55;Granel Sólido;BRIGHT NAVIGATION INC;Importação
9;9479333;KM SHANGHAI;B201 - CORREDOR OESTE;15/10/2024 01:15;18/10/2024 14:20;Granel Sólido;KUANG MING CORP;Exportação
10;9708978;EGRET RIVER;B201 - CORREDOR OESTE;18/10/2024 15:20;20/10/2024 06:35;Granel Sólido;NORVIC SHIPPING INTERNATIONAL LTD;Importação
11;9708978;EGRET RIVER;B201 - CORREDOR OESTE;21/10/2024 17:45;29/10/2024 09:20;Granel Sólido;NORVIC SHIPPING INTERNATIONAL LTD;Importação
12;9766188;FEDERAL MOSEL;B201 - CORREDOR OESTE;29/10/2024 10:00;31/10/2024 20:05;Granel Sólido;CANADA JUPITER MARITIME CO., LTD;Importação
13;9393450;DRAWSKO;B201 - CORREDOR OESTE;31/10/2024 20:50;03/11/2024 13:30;Granel Sólido;COE 2 SEA GMBH;Importação
14;9580039;MOUNT HIKURANGI;B201 - CORREDOR OESTE;03/11/2024 14:20;07/11/2024 01:55;Granel Sólido;PACIFIC BASIN SHIPPING HK LTD;Importação
15;9182954;STAR ISTIND;B201 - CORREDOR OESTE;07/11/2024 12:00;11/11/2024 02:22;Carga Geral;G2 OCEAN AS;Exportação
16;9612313;FEDERICA;B201 - CORREDOR OESTE;20/11/2024 07:45;27/11/2024 21:55;Granel Sólido;NORDEN A/S;Importação
17;9583146;ARUNA NAZIK;BERÇO 202;21/10/2024 16:00;23/10/2024 08:42;Granel Sólido;OLDENDORFF CARRIERS GMBH & CO;Importação
18;9624172;ELIAS;BERÇO 202;23/10/2024 09:00;02/11/2024 01:05;Carga Geral;MARYAM SHIPPING S.A;Exportação
19;9831531;CENTURY QUEEN;BERÇO 202;02/11/2024 07:00;13/11/2024 13:40;Granel Sólido;DOWA LINE AMERICAN CO LTD;Exportação
20;9554066;GANT FLAIR;BERÇO 202;14/11/2024 20:40;18/11/2024 11:55;Granel Sólido;SEATRANS MARINE LTD-LIB;Exportação
21;9377963;SILVER LAKE;BERÇO 202;18/11/2024 16:05;21/11/2024 20:05;Granel Sólido;LAKE STEVEN'S LIMITED ATENCIOSAMENTE,;Importação
22;9607083;PETREL ARROW;BERÇO 202;22/11/2024 13:58;25/11/2024 07:02;Carga Geral;G2 OCEAN A/S;Exportação
23;9079212;INTEGRADOR;BERÇO 202;25/11/2024 12:20;25/11/2024 17:05;RO-RO;RORO SHIPPING COMPANY;Exportação
24;9613850;SAGA FRIGG;BERÇO 202;26/11/2024 18:50;28/11/2024 14:20;Granel Sólido;SAGA WELCO AS;Exportação
25;9659749;CANADA PEARL;BERÇO 202;28/11/2024 20:10;29/11/2024 11:00;Granel Sólido;CANADA STAR SHIPPING CO. LTD.;Exportação
26;9583146;ARUNA NAZIK;BERÇO 204 PASA;12/10/2024 07:00;20/10/2024 06:30;Granel Sólido;OLDENDORFF CARRIERS GMBH & CO;Importação
27;9687136;UNITY NORTH;BERÇO 204 PASA;21/10/2024 20:20;23/10/2024 07:50;Granel Sólido;BERLIAN STEAMSHIP INC.;Exportação
28;9478585;KEY OHANA;BERÇO 204 PASA;23/10/2024 09:00;25/10/2024 04:20;Granel Sólido;LOUIS DREYFUS COMPANY SUISSE SA;Exportação
29;9979333;THERESA BREEZE;BERÇO 204 PASA;25/10/2024 05:30;26/10/2024 09:25;Granel Sólido;RAFFLES SHIPPING AND INVESTMENT PTE LTD;Exportação
30;9299290;SPAR CANIS;BERÇO 204 PASA;26/10/2024 12:00;28/10/2024 23:50;Granel Sólido;THE CHINA NAVIGATION CO PTE LTD;Exportação
31;9609225;ND THELXIS;BERÇO 204 PASA;29/10/2024 01:00;30/10/2024 13:20;Granel Sólido;IMPETUS MARITIME LTD-MAI;Exportação
32;9941946;MARIMYR A;BERÇO 204 PASA;30/10/2024 14:00;01/11/2024 23:40;Granel Sólido;TRITHORN BULK AS NO WEPAPPA;Exportação
33;9303065;STRANGE ATTRACTOR;BERÇO 204 PASA;02/11/2024 02:34;06/11/2024 04:03;Granel Sólido;MITSUI O. S. K. LINES LTD.;Exportação
34;9228227;SEA MOON;BERÇO 204 PASA;11/11/2024 20:20;13/11/2024 06:08;Granel Sólido;SEA MOON SHIPPING & TRADING SA;Exportação
35;9228227;SEA MOON;BERÇO 204 PASA;14/11/2024 19:10;15/11/2024 06:25;Granel Sólido;SEA MOON SHIPPING & TRADING SA;Exportação
36;9718143;TOMINI SYMPHONY;BERÇO 204 PASA;15/11/2024 08:14;18/11/2024 01:11;Granel Sólido;PRIMETRANSPORT LTD;Exportação
37;9691486;IVONE;BERÇO 204 PASA;18/11/2024 02:25;18/11/2024 23:45;Granel Sólido;GOLDEN ARROW MARITIME CO SA;Exportação
38;9520780;XO COPENHAGEN;BERÇO 204 PASA;19/11/2024 01:40;20/11/2024 11:35;Granel Sólido;XO SHIPPING A/S;Exportação
39;9492086;DIANE;BERÇO 204 PASA;20/11/2024 14:40;25/11/2024 04:20;Granel Sólido;CHARTERWELL MARITIME SA;Exportação
40;9691591;NORD STARK;BERÇO 204 PASA;25/11/2024 05:38;26/11/2024 02:32;Granel Sólido;VITERRA CHARTERING B.V.;Exportação
41;9279513;LIGARI;BERÇO 204 PASA;26/11/2024 03:20;28/11/2024 08:00;Granel Sólido;ENGELHART COMMODITIES TRADING PARTNERS (SWITZERLAND) SA;Exportação
42;9389215;ANASA;BERÇO 204 PASA;28/11/2024 10:30;30/11/2024 10:25;Granel Sólido;SANASIRI SHIPPING CO,LIMITED;Exportação
43;9828314;STAR ALTAIR;BERÇO 204 PASA;30/11/2024 11:10;02/12/2024 13:00;Granel Sólido;BLUE FLEET MANAGEMENT CO. LTD;Exportação
44;9542829;ROMANDIE;BERÇO 205;21/10/2024 13:35;23/10/2024 15:50;Granel Sólido;SUISSE ATLANTIQUE;Exportação
45;9497452;NJ CALLISTO;BERÇO 205;29/10/2024 04:10;15/11/2024 01:45;Granel Sólido;NJ CALLISTO MARITIME COMPANY LTD;Exportação
46;9488217;WU YI HAI;BERÇO 205;16/11/2024 16:10;18/11/2024 17:55;Granel Sólido;COSCO SHIPPING CO. LTD.;Importação
47;9514406;ANNA-META;BERÇO 205;18/11/2024 20:20;27/11/2024 07:20;Granel Sólido;BLUMENTHAL ASIA PTE LTD;Importação
48;9527415;ELEEN EVA;BERÇO 205;27/11/2024 08:11;02/12/2024 06:06;Granel Sólido;NORVIC SHIPPING INTERNATIONAL LTD;Importação
49;9330317;NAVIOS HELIOS;BERÇO 208;13/10/2024 07:00;16/10/2024 04:20;Granel Sólido;CARGILL INTERNATIONAL S.A.;Importação
50;9464003;ANANYA NAREE;BERÇO 208;16/10/2024 09:03;20/10/2024 01:17;Granel Sólido;PRECIOUS FORESTS LIMITED;Importação
51;9703813;BEN 1;BERÇO 208;20/10/2024 03:50;21/10/2024 13:30;Granel Sólido;BANC OF AMERICA LEASING CAPITAL, LLC;Importação
